ID,Work Item Type,Title,State,Tags,Description,Acceptance Criteria,Closed Date
"34933","User Story","[ANZCO] Create Data Source","Closed","ANZCO; ASB","<ol><li>Create the DATA CONNECTOR data-source </li><li>Setup in Test, Dev, Prod and in demo via the data creator script </li> </ol><div><b style=""box-sizing:border-box;"">Name:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;ANZCO Foods</b> </div><div><b style=""box-sizing:border-box;"">Identifier:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<span style=""font-family:&quot;Times New Roman&quot;;display:inline !important;"">com.purefarming.data-source.anzco</span></b> </div><div><b style=""box-sizing:border-box;"">Description:<span>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Provides kill details, including carcass observations, for individual animals</span></b><br> </div><div><b style=""box-sizing:border-box;""><span>IngestionSchedule:&nbsp; &nbsp; &nbsp;Not required for drop-based ingestion</span></b> </div><div><b style=""box-sizing:border-box;""><span>Country:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;New Zealand</span></b> </div><div><span style=""display:inline !important;""><b style=""box-sizing:border-box;"">LogoUrl:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</b></span> </div><div><b><b style=""box-sizing:border-box;"">ResourceTypes:</b><span style=""font-weight:400;display:inline !important;"">&nbsp;<div style=""color:#3b3b3b;background-color:#ffffff;font-family:Consolas, 'Courier New', monospace;font-weight:normal;""><div><ul><li><span style=""color:#a31515;"">&nbsp;icarCarcassObservationsEventResource</span> </li><li><span style=""color:#a31515;"">&nbsp;</span><span style=""color:rgb(163, 21, 21);"">pfLivestockFinancialTransactionResource&nbsp;</span> </li> </ul> </div> </div></span><div><table width=305 style=""border-collapse:collapse;width:229pt;""><tbody><tr height=81><td width=305 height=81 style=""padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-size:11pt;font-weight:400;font-family:Calibri, sans-serif;vertical-align:bottom;border:none;vertical-align:top;width:229pt;""> </td></tr></tbody></table> </div></b> </div>","<div><ul><li>The new data source is setup in dynamo and can be seen as response from provider/data-sources/findByDataRequestRecipientId for a data request recipient that belongs to a new Zealand farm. </li> </ul> </div>","4/1/2025 7:52:41 AM"
"35077","Bug","[eNVD][P3 Incident] Error in connecting to eNVD","Closed","incident; NAB",,,"4/1/2025 8:38:10 AM"
"35229","User Story","Update text on SFF data request UI","Closed","ASB; Silver Fern Farms","<div>The text on the data request needs updating with the disclaimer that the farmer is giving consent to share their data. </div><div><br> </div><div><span style=""font-size:15px;display:inline !important;"">[X] I consent to delivery of carcass data to Map of Ag as the data processor for this request.</span><br> </div><div><span style=""font-size:15px;display:inline !important;""><br></span> </div><div><span style=""font-size:15px;display:inline !important;""><span style=""display:inline !important;"">The button to continue should only be enabled if they have at least one supply number and have checked this box.</span><br></span> </div>",,"4/1/2025 8:56:12 AM"
"34934","User Story","[ANZCO] Data Connector UI","Closed","ANZCO; ASB","<div><span style=""display:inline !important;"">As a provider I want to be able to connect up my ANZCO data so that consumers can use it as requested.</span> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div><br> </div><div>ANZCO will provide data files for holdings: </div><div><ul><li>CSV kill details for a kill </li> </ul><div><span>For the pilot the files will be dropped in our drop bucket, as csv. </span> </div><div><br><span> </span> </div><div>The mock for the UI is available <a href=""https://gbr01.safelinks.protection.outlook.com/?url=https:%2f%2fwww.figma.com%2fproto%2fQBxQRVCSzv5y61v0WLuqDr%2fProvider-UI-%28DESKTOP%29?page-id%3D325%253A2460%26node-id%3D17222-10053%26p%3Df%26viewport%3D16711%252C-34693%252C0.6%26t%3D0Vd4AdipOTwSBAxq-1%26scaling%3Dscale-down%26content-scaling%3Dfixed%26starting-point-node-id%3D17222%253A10053%26show-proto-sidebar%3D1&amp;data=05%7c02%7cdon.wilson%40mapof.ag%7c257517aab52449a04bba08dd659886ba%7c0b153499034341cf9366e188b68493fd%7c1%7c0%7c638778428007637502%7cUnknown%7cTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7c0%7c%7c%7c&amp;sdata=StIO1%2f6548nJKN6Iy5jMS155PQerkDMOt713ynIX6uM%3D&amp;reserved=0"">here</a>. </div><div><div style=""margin:0px 0cm;font-size:10pt;font-family:Aptos, sans-serif;""><span style=""font-size:11pt;background-color:rgb(255, 255, 0);""></span><br> </div> </div> </div><div>The ANZCO logo is attached in SVG and PNG. </div><div><div><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><span style=""font-size:11pt;background-color:rgb(255, 255, 0);""><br></span> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">The successful connection will result in a new connection in our dynamo table with the following connectionParameters object: </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><br> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><br> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">{ </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">&nbsp; &nbsp; &quot;supplier_numbers&quot;: [&quot;S123456&quot;, &quot;S789456&quot;, etc.&nbsp;<span>] // this can be one or many</span> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">} </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><span style=""font-size:11.0pt;""><br></span> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><span style=""font-size:11.0pt;""><b>Please note:</b>&nbsp;</span> </p><p style=""margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;""><span style=""font-size:11.0pt;""></span> </p> </div> </div><div>Supplier numbers will be S followed by 5 or 6 digits [format to be confirmed] - Michael Smith is confirming the ANZCO format for the supplier numbers<br> </div><div><div><ul><li><span style=""font-size:11.0pt;"">e.g. <strike>S12345 or S123456</strike></span> </li><li><span style=""font-size:11.0pt;"">For the pilot phase of ASB all the farmers will already have given permission beforehand, so ANZCO&nbsp;<span style=""display:inline !important;"">always<span>&nbsp;</span></span>just sends everything to our s3 bucket.&nbsp; Because of that we don't need to authenticate or anything else with ANZCO.</span> </li> </ul><p> </p><br> </div> </div>","<ul><li>A farmer can connect multiple supplier numbers for one PF holding </li><li>After successfully connecting, there will a ANZCO connection in dynamo for the connected holding </li><li>ANZCO data source shows as connected after connecting data up is finished </li> </ul>","4/1/2025 9:04:21 AM"
"35067","Bug","[Authz] Update theme cache when resource type updates","Closed","Authorisation Service",,,"4/1/2025 1:26:27 PM"
"35327","Bug","[Silver Fern Farms] Incorrect Placement of ""inventoryClassification.name"" in the Datapoint Key of pfLivestockFinancialTransactionResource","Closed","Silver Fern Farms",,,"4/2/2025 7:50:49 AM"
"35178","Bug","[Silver Fern Farms] Date format differences in Standardized files (carcass obsv. and financial transactions)","Closed","Silver Fern Farms",,,"4/2/2025 7:50:50 AM"
"35180","User Story","[Silver Fern Farms] Livestock Financial Transactions DPK change","Closed","ASB; Silver Fern Farms","<div>I want to include the Animal Category Code in the&nbsp;<span style=""display:inline !important;"">data point key for SFF and ANZCO</span> Livestock Financial Transactions so that we can distinguish transactions in a killsheet for animals which have the same sex but different category. </div><div><br> </div><div>For example, bulls and bobbys would currently have the same DPK because they map to the same species and sex. </div><div><br> </div><div>The solution is to include&nbsp;[inventoryClassification.name] in the DPK for&nbsp;pfLivestockFinancialTransactionResource. </div><div><div style=""color:#3b3b3b;background-color:#ffffff;font-family:Consolas, 'Courier New', monospace;font-weight:normal;""><div><span style=""color:#0451a5;"">Note that &quot;name&quot;</span><span>: [</span><span style=""color:#a31515;"">&quot;Killsheet #&quot;</span><span style=""color:#cd3131;"">-</span><span style=""color:#a31515;"">&quot;Animal Category Code&quot;</span><span>]</span> </div> </div> </div><div><br> </div><div>The DPK is: </div><div>[transactionKind]_ [eventDateTime]_ [resourceReference.identifier.scheme]_ [resourceReference.identifier.id]_ [classificationId.scheme]_ [classificationId.id]_&nbsp;&nbsp;<span style=""display:inline !important;""><span>&nbsp;</span><b>[inventoryClassification.name]_</b>&nbsp;</span>[inventoryClassification.species]_ [inventoryClassification.sex]_ [inventoryClassification.birthPeriod]_ [inventoryClassification.primaryBreed.scheme]_ [inventoryClassification.primaryBreed.id]_ [inventoryClassification.lactationStatus]<br> </div><div><br> </div><div><br> </div><div> </div>","<div>I can store livestock financial transactions from a killsheet for different livestock category codes but which have the same sex. </div>","4/2/2025 7:50:51 AM"
"34681","User Story","[Silver Fern Farms] Write ingestion - Standardise livestock financial transactions","Closed","ASB; Silver Fern Farms","<div><span style=""display:inline !important;"">As a Farmer I want to be able to provide my Silver Fern Farms data to a data consumer so that they can receive livestock financial transactions by stock type for animals slaughtered in a lot.</span><br> </div><div> </div><div> </div><div> </div><div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;""><span>Pick up the file from the raw bucket </span><span> </span> </li><ol style=""list-style:lower-alpha;""><li style=""box-sizing:border-box;""><span><div style=""box-sizing:border-box;text-align:start;"">silver-fern-farms/dropdate/killsheet#/filename(universalId-killsheet#.csv) </div></span> </li> </ol><li>Consider attributes of incoming event </li><ol style=""list-style:lower-alpha;""><li>supplier# </li><li>plantnumberOrName </li><li>species </li><li>entity_id of the holding of the found connection </li> </ol><li style=""box-sizing:border-box;"">Create a <span>livestock financial transaction&nbsp;</span>for each category of animal (defined by an inventory classification) in a processing lot. </li><li style=""box-sizing:border-box;"">In the calculation of&nbsp;&quot;weightPerHead&quot;, round to one decimal place. </li> </ol><div><b>Mapping:</b> </div><div><ul><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/ESrVhvS2Z1hEuvrooF2NbKsBsAS-9EPwNEjxU5Q7MNJtcQ?e=l1enPu"">MapSFFLivestockFinancialTransaction.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EYJzVWxUf9FFh-XNVmmF6B0B2naxClnqmTxzMhmTisGbqQ?e=RVYDPB"">NewMapSFFLivestockFinancialTransaction.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:w:/s/Project/project_MapofAg_PureFarming/EZefvYMCxyhOpVLfkbtQoXMBxjNIeGMTDjhDs5DgjIb7rQ?e=bmTer3"">MappingNotes.docx</a> </li> </ul> </div><div><b>Testing:</b> </div><div><ul><li>Please check the data writer is triggered and run successfully, but this is not a blocking requirement for this story </li> </ul><div><b>Please Note:</b> </div><div>Each killsheet will create at least one, but maybe more (depending on the animal category type) </div> </div> </div>","<div><ul><li>Standardised file is created/mapped correclty according to the mapping file&nbsp;<a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/ESrVhvS2Z1hEuvrooF2NbKsBsAS-9EPwNEjxU5Q7MNJtcQ?e=l1enPu"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">MapSFFLivestockFinancialTransaction.json</a> </li><li>Standardised logs are without errors </li> </ul> </div>","4/2/2025 7:50:52 AM"
"33317","Technical Debt","[Demo env] Update to .NET 8","Closed",".NET Upgrade; Demo Env","<div>Upgrade the Demo Environment Creator to .NET8 </div><div><br> </div><div>Follow the instructions in the Wiki for Updating from .NET7 to .NET8: </div><div><a href=""https://dev.azure.com/rezaresystems/Map%20of%20Ag%20-%20New%20Product%20Development/_wiki/wikis/Pure%20Farming.wiki/866/Update-.Net"">Update .Net - Overview</a><br> </div><div><br> </div><div>This involves:<br><ul><li>Updating the runtime in the project </li><li>Updating the root containers </li><li>Updating all nuget packages* </li><li>Updating the NuGet build process to use the latest version of swashbuckle </li><li>Update the dockerfile </li><li>Update the container healthcheck </li> </ul><div>The upgrade is considered complete when: </div><div><ul><li>You have successfully built the .NET8 version of the project </li><li>You have built and published the .NET8 version of the nuget package (if applicable) </li><li>The service runs as expected and passes testing </li> </ul><div>*Note for package updates: some services depend on the nuget packages from other Pure Farming services. If the other services have not been upgraded then the build may fail due to vulnerability errors. If this happens: </div> </div> </div><div><ol><li>Add the dependent service upgrade tech debt as a predecessor to this ticket </li><li>Mark this ticket as blocked </li> </ol> </div>",,"4/2/2025 9:41:55 AM"
